"Sr. No","Roll No","Phy101","Che101","Math102","ESE104"
1,101,,,,
2,115,,,,
3,120,"D",,"D",
4,121,,,,
5,122,,,,
6,124,,"D",,
7,134,,,,
8,137,,,,
9,141,"D","D","D","D"
10,148,,,,
